0/   Common Name,1/   Latin Name,1b/  Genus,1c/  Cultivar (Y/N),1d/  Source,2/  Native Status Tier,3/  Native Status - Basis,22/  Native to (Level II Ecoregion),2/  Slug,3/  Drive Image ID,8/  Category,9/  Habit,10/  Flower,11/  Leaf,"12/  Height, Min (ft)","13/  Height, Max (ft)","14/  Spread, Min (ft)","15/  Spread, Max (ft)",4/  Light Req,5/  Water Req,6/  Soil Req,7/  Zone,24/  Drought Resistant,25/  Low Maintenance,52/  Shade Tolerance [USDA PLANTS],53/  Ellenberg-style L value (1-9) [where available],"50/  Coeff. of Conservatism C (0-10) [Chicago Region FQA, Swink&Wilhelm 1994]",51/  Coeff. of Wetness W (-5..+5) [Chicago Region FQA],16/  Bloom Color,17/  Bloom Time,18/  Fall Leaf Color,19/  Fall Color Time,20/  Attractive Seedhead Time,21/  Garden Attributes,23/  Context,28/  Growth Rate/Lifespan,27/  Summary Blurb,29/  Detailed Description,"30/  Maintenance, General","31/  Maintenance, Late Winter","32/  Maintenance, Early Spring","33/  Maintenance, Mid Spring","34/  Maintenance, Late Spring","35/  Maintenance, Early Summer","36/  Maintenance, Mid Summer","37/  Maintenance, Late Summer","38/  Maintenance, Early Fall","39/  Maintenance, Mid Fall","40/  Maintenance, Late Fall","41/  Maintenance, Winter","43/  [DOC] Pollinators Supported (documented, partial)","44/  [DOC] Pollinator Taxa Count (documented floor, not a census)",45/  [EST] CSR Strategy,46/  [EST] CSR Basis,47/  [REC] Companion - CSR-Matched,48/  [REC] Companion - Site-Matched (Soil/Water/Light),49/  [REC] Companion - Complementary Seasonal Interest,58/  Image - Spring (URL or Drive ID),59/  Image - Summer (URL or Drive ID),60/  Image - Fall (URL or Drive ID),61/  Image - Winter (URL or Drive ID)
Dark Side of the Moon Astilbe,Astilbe Dark Side of the moon,Astilbe,Y,Fiore,Confamilial - non-native (resolved),"Saxifragaceae (cf. Heuchera, Tiarella, Mitella)",,,,flower,upright clump,,"compound, toothed, glossy green",1.5,3,1,2,Part shade to full shade,Medium to wet,"rich, moist, well-drained",4 to 9,,TRUE,,,,,,June to August,,,,"astilbe, feathery plumes, shade-tolerant, needs moisture",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Delft Lace Astilbe,Astilbe Delft Lace,Astilbe,Y,Fiore,Confamilial - non-native (resolved),"Saxifragaceae (cf. Heuchera, Tiarella, Mitella)",,,,flower,upright clump,,"compound, toothed, glossy green",1.5,3,1,2,Part shade to full shade,Medium to wet,"rich, moist, well-drained",4 to 9,,TRUE,,,,,,June to August,,,,"astilbe, feathery plumes, shade-tolerant, needs moisture",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Bressingham Beauty Hybrid Astilbe,Astilbe arendsii Bressingham Beauty,Astilbe,Y,Fiore,Confamilial - non-native (resolved),"Saxifragaceae (cf. Heuchera, Tiarella, Mitella)",,,,flower,upright clump,,"compound, toothed, glossy green",2,4,1,2,Part shade to full shade,Medium to wet,"rich, moist, well-drained",4 to 9,,TRUE,,,,,,June to July,,,,"astilbe, feathery plumes, shade-tolerant, needs moisture",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Color Flash Astilbe,Astilbe arendsii Color Flash (Beauty of Ernst),Astilbe,Y,Fiore,Confamilial - non-native (resolved),"Saxifragaceae (cf. Heuchera, Tiarella, Mitella)",,,,flower,upright clump,,"compound, toothed, glossy green",2,4,1,2,Part shade to full shade,Medium to wet,"rich, moist, well-drained",4 to 9,,TRUE,,,,,,June to July,,,,"astilbe, feathery plumes, shade-tolerant, needs moisture",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Deutschland Hybrid Astilbe,Astilbe arendsii Deutschland,Astilbe,Y,Fiore,Confamilial - non-native (resolved),"Saxifragaceae (cf. Heuchera, Tiarella, Mitella)",,,,flower,upright clump,,"compound, toothed, glossy green",2,4,1,2,Part shade to full shade,Medium to wet,"rich, moist, well-drained",4 to 9,,TRUE,,,,,,June to July,,,,"astilbe, feathery plumes, shade-tolerant, needs moisture",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Fanal Hybrid Astilbe,Astilbe arendsii Fanal,Astilbe,Y,Fiore,Confamilial - non-native (resolved),"Saxifragaceae (cf. Heuchera, Tiarella, Mitella)",,,,flower,upright clump,,"compound, toothed, glossy green",2,4,1,2,Part shade to full shade,Medium to wet,"rich, moist, well-drained",4 to 9,,TRUE,,,,,,June to July,,,,"astilbe, feathery plumes, shade-tolerant, needs moisture",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie Daley Astilbe,Astilbe chinensis Maggie Daley,Astilbe,Y,Fiore,Confamilial - non-native (resolved),"Saxifragaceae (cf. Heuchera, Tiarella, Mitella)",,,,flower,upright clump,,"compound, toothed, glossy green",1.5,3,1,2,Part shade to full shade,Medium to wet,"rich, moist, well-drained",4 to 8,,TRUE,,,,,,July to August,,,,"astilbe, feathery plumes, shade-tolerant, needs moisture",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Pumila Chinese Astilbe,Astilbe chinensis Pumila,Astilbe,Y,Fiore,Confamilial - non-native (resolved),"Saxifragaceae (cf. Heuchera, Tiarella, Mitella)",,,,flower,upright clump,,"compound, toothed, glossy green",1.5,3,1,2,Part shade to full shade,Medium to wet,"rich, moist, well-drained",4 to 8,,TRUE,,,,,,July to August,,,,"astilbe, feathery plumes, shade-tolerant, needs moisture",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Purple Candles Chinese Astilbe,Astilbe chinensis Purpurkerze,Astilbe,Y,Fiore,Confamilial - non-native (resolved),"Saxifragaceae (cf. Heuchera, Tiarella, Mitella)",,,,flower,upright clump,,"compound, toothed, glossy green",1.5,3,1,2,Part shade to full shade,Medium to wet,"rich, moist, well-drained",4 to 8,,TRUE,,,,,,July to August,,,,"astilbe, feathery plumes, shade-tolerant, needs moisture",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Visions Astilbe,Astilbe chinensis Visions,Astilbe,Y,Fiore,Confamilial - non-native (resolved),"Saxifragaceae (cf. Heuchera, Tiarella, Mitella)",,,,flower,upright clump,,"compound, toothed, glossy green",1.5,3,1,2,Part shade to full shade,Medium to wet,"rich, moist, well-drained",4 to 8,,TRUE,,,,,,July to August,,,,"astilbe, feathery plumes, shade-tolerant, needs moisture",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Visions in Pink Astilbe,Astilbe chinensis Visions in Pink,Astilbe,Y,Fiore,Confamilial - non-native (resolved),"Saxifragaceae (cf. Heuchera, Tiarella, Mitella)",,,,flower,upright clump,,"compound, toothed, glossy green",1.5,3,1,2,Part shade to full shade,Medium to wet,"rich, moist, well-drained",4 to 8,,TRUE,,,,,,July to August,,,,"astilbe, feathery plumes, shade-tolerant, needs moisture",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Visions in Red Astilbe,Astilbe chinensis Visions in Red,Astilbe,Y,Fiore,Confamilial - non-native (resolved),"Saxifragaceae (cf. Heuchera, Tiarella, Mitella)",,,,flower,upright clump,,"compound, toothed, glossy green",1.5,3,1,2,Part shade to full shade,Medium to wet,"rich, moist, well-drained",4 to 8,,TRUE,,,,,,July to August,,,,"astilbe, feathery plumes, shade-tolerant, needs moisture",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Visions in White Chinese Astilbe,Astilbe chinensis Visions in White,Astilbe,Y,Fiore,Confamilial - non-native (resolved),"Saxifragaceae (cf. Heuchera, Tiarella, Mitella)",,,,flower,upright clump,,"compound, toothed, glossy green",1.5,3,1,2,Part shade to full shade,Medium to wet,"rich, moist, well-drained",4 to 8,,TRUE,,,,,,July to August,,,,"astilbe, feathery plumes, shade-tolerant, needs moisture",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Rheinland Hybrid Astilbe,Astilbe japonica Rheinland,Astilbe,Y,Fiore,Confamilial - non-native (resolved),"Saxifragaceae (cf. Heuchera, Tiarella, Mitella)",,,,flower,upright clump,,"compound, toothed, glossy green",1,2,1,2,Part shade to full shade,Medium to wet,"rich, moist, well-drained",4 to 9,,TRUE,,,,,,May to June,,,,"astilbe, feathery plumes, shade-tolerant, needs moisture",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Peach Blossom Rose Astilbe,Astilbe rosea Peach Blossom,Astilbe,Y,Fiore,Confamilial - non-native (resolved),"Saxifragaceae (cf. Heuchera, Tiarella, Mitella)",,,,flower,upright clump,,"compound, toothed, glossy green",1.5,3,1,2,Part shade to full shade,Medium to wet,"rich, moist, well-drained",4 to 9,,TRUE,,,,,,June to August,,,,"astilbe, feathery plumes, shade-tolerant, needs moisture",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Roma Great Masterwort,Astrantia major Roma,Astrantia,Y,Fiore,Confamilial - non-native (resolved),"Apiaceae (cf. Zizia, Eryngium, Thaspium)",,,,flower,upright clump,,"palmate, lobed, toothed, bright green",2,3,1,2,Part shade to full shade,Medium,"rich, moist, well-drained",4 to 7,,,,,,,,June to August,,,,"masterwort, pincushion flowers, cottage garden",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Venice Masterwort,Astrantia major Venice,Astrantia,Y,Fiore,Confamilial - non-native (resolved),"Apiaceae (cf. Zizia, Eryngium, Thaspium)",,,,flower,upright clump,,"palmate, lobed, toothed, bright green",2,3,1,2,Part shade to full shade,Medium,"rich, moist, well-drained",4 to 7,,,,,,,,June to August,,,,"masterwort, pincushion flowers, cottage garden",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Glow Pigsqueak,Bergenia Winter Glow (Winterglut),Bergenia,Y,Fiore,Confamilial - non-native (resolved),"Saxifragaceae (cf. Heuchera, Tiarella)",,,,flower,mound,,"large, rounded, leathery, glossy green",1,1.5,1,1.5,Part shade to full shade,Medium,"average, medium, well-drained",3 to 8,,,,,,,,April to May,bronze to red in winter,November to March,,"bergenia, bold evergreen leaves, early spring",,slow growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Heartleaf Brunnera,Brunnera macrophylla,Brunnera,N,Fiore,Confamilial - non-native (resolved),"Boraginaceae (cf. Mertensia, Lithospermum)",,,,flower,mound,,"large, heart-shaped, rough, green or silver-variegated",1,1.5,1.5,2,Part shade to full shade,Medium,"rich, moist, well-drained",3 to 7,,TRUE,,,,,blue,April to May,,,,"forget-me-not flowers, heart-shaped leaves, self-seeds",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander the Great Heartleaf Brunnera,Brunnera macrophylla Alexander the Great,Brunnera,Y,Fiore,Confamilial - non-native (resolved),"Boraginaceae (cf. Mertensia, Lithospermum)",,,,flower,mound,,"large, heart-shaped, rough, green or silver-variegated",1,1.5,1.5,2,Part shade to full shade,Medium,"rich, moist, well-drained",3 to 7,,TRUE,,,,,,April to May,,,,"forget-me-not flowers, heart-shaped leaves, self-seeds",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Frost Heartleaf Brunnera,Brunnera macrophylla Jack Frost,Brunnera,Y,Fiore,Confamilial - non-native (resolved),"Boraginaceae (cf. Mertensia, Lithospermum)",,,,flower,mound,,"large, heart-shaped, rough, green or silver-variegated",1,1.5,1.5,2,Part shade to full shade,Medium,"rich, moist, well-drained",3 to 7,,TRUE,,,,,,April to May,,,,"forget-me-not flowers, heart-shaped leaves, self-seeds",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Jack of Diamonds Heartleaf Brunnera,Brunnera macrophylla Jack of Diamonds,Brunnera,Y,Fiore,Confamilial - non-native (resolved),"Boraginaceae (cf. Mertensia, Lithospermum)",,,,flower,mound,,"large, heart-shaped, rough, green or silver-variegated",1,1.5,1.5,2,Part shade to full shade,Medium,"rich, moist, well-drained",3 to 7,,TRUE,,,,,,April to May,,,,"forget-me-not flowers, heart-shaped leaves, self-seeds",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Looking Glass Heartleaf Brunnera,Brunnera macrophylla Looking Glass,Brunnera,Y,Fiore,Confamilial - non-native (resolved),"Boraginaceae (cf. Mertensia, Lithospermum)",,,,flower,mound,,"large, heart-shaped, rough, green or silver-variegated",1,1.5,1.5,2,Part shade to full shade,Medium,"rich, moist, well-drained",3 to 7,,TRUE,,,,,,April to May,,,,"forget-me-not flowers, heart-shaped leaves, self-seeds",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Sea Hearts Siberian Brunnera,Brunnera macrophylla Sea Hearts,Brunnera,Y,Fiore,Confamilial - non-native (resolved),"Boraginaceae (cf. Mertensia, Lithospermum)",,,,flower,mound,,"large, heart-shaped, rough, green or silver-variegated",1,1.5,1.5,2,Part shade to full shade,Medium,"rich, moist, well-drained",3 to 7,,TRUE,,,,,,April to May,,,,"forget-me-not flowers, heart-shaped leaves, self-seeds",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Silver Heart Heartleaf Brunnera,Brunnera macrophylla Silver Heart,Brunnera,Y,Fiore,Confamilial - non-native (resolved),"Boraginaceae (cf. Mertensia, Lithospermum)",,,,flower,mound,,"large, heart-shaped, rough, green or silver-variegated",1,1.5,1.5,2,Part shade to full shade,Medium,"rich, moist, well-drained",3 to 7,,TRUE,,,,,,April to May,,,,"forget-me-not flowers, heart-shaped leaves, self-seeds",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Groovy Grape Butterfly Bush,Buddleia Groovy Grape,Buddleia,Y,Fiore,Confamilial - non-native (resolved),Scrophulariaceae (cf. native Scrophularia); also strong butterfly-nectar value,,,,shrub,upright shrub,,"lanceolate, opposite, gray-green beneath, arching",4,8,4,8,Full sun,Dry to medium,"average, well-drained",5 to 9,TRUE,TRUE,,,,,,June to September,yellow-green,October,,"butterfly bush, attracts butterflies, fragrant, deadhead for reblooom",,rapid growth; moderate-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Ruby Butterfly Bush,Buddleia Miss Ruby,Buddleia,Y,Fiore,Confamilial - non-native (resolved),Scrophulariaceae (cf. native Scrophularia); also strong butterfly-nectar value,,,,shrub,upright shrub,,"lanceolate, opposite, gray-green beneath, arching",4,8,4,8,Full sun,Dry to medium,"average, well-drained",5 to 9,TRUE,TRUE,,,,,,June to September,yellow-green,October,,"butterfly bush, attracts butterflies, fragrant, deadhead for reblooom",,rapid growth; moderate-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Pugster Blue Butterfly Bush,Buddleia Pugster Blue,Buddleia,Y,Fiore,Confamilial - non-native (resolved),Scrophulariaceae (cf. native Scrophularia); also strong butterfly-nectar value,,,,shrub,upright shrub,,"lanceolate, opposite, gray-green beneath, arching",4,8,4,8,Full sun,Dry to medium,"average, well-drained",5 to 9,TRUE,TRUE,,,,,,June to September,yellow-green,October,,"butterfly bush, attracts butterflies, fragrant, deadhead for reblooom",,rapid growth; moderate-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Pugster Periwinkle Butterfly Bush,Buddleia Pugster Periwinkle,Buddleia,Y,Fiore,Confamilial - non-native (resolved),Scrophulariaceae (cf. native Scrophularia); also strong butterfly-nectar value,,,,shrub,upright shrub,,"lanceolate, opposite, gray-green beneath, arching",4,8,4,8,Full sun,Dry to medium,"average, well-drained",5 to 9,TRUE,TRUE,,,,,,June to September,yellow-green,October,,"butterfly bush, attracts butterflies, fragrant, deadhead for reblooom",,rapid growth; moderate-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Pugster Pinker Butterfly Bush,Buddleia Pugster Pinker,Buddleia,Y,Fiore,Confamilial - non-native (resolved),Scrophulariaceae (cf. native Scrophularia); also strong butterfly-nectar value,,,,shrub,upright shrub,,"lanceolate, opposite, gray-green beneath, arching",4,8,4,8,Full sun,Dry to medium,"average, well-drained",5 to 9,TRUE,TRUE,,,,,,June to September,yellow-green,October,,"butterfly bush, attracts butterflies, fragrant, deadhead for reblooom",,rapid growth; moderate-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Pugster White Butterfly Bush,Buddleia Pugster White,Buddleia,Y,Fiore,Confamilial - non-native (resolved),Scrophulariaceae (cf. native Scrophularia); also strong butterfly-nectar value,,,,shrub,upright shrub,,"lanceolate, opposite, gray-green beneath, arching",4,8,4,8,Full sun,Dry to medium,"average, well-drained",5 to 9,TRUE,TRUE,,,,,,June to September,yellow-green,October,,"butterfly bush, attracts butterflies, fragrant, deadhead for reblooom",,rapid growth; moderate-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Chicagoland Green Boxwood,Buxus Chicagoland Green,Buxus,Y,Fiore,Confamilial - non-native (resolved),"Buxaceae (cf. Pachysandra procumbens, near-region)",,,,shrub,rounded mound,,"small, oval, opposite, evergreen, glossy dark green",2,6,3,5,Full sun to part shade,Medium,"average, medium, well-drained",5 to 8,,TRUE,,,,,,April to May,,,,"boxwood, formal evergreen hedge, deer resistant",,slow growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Green Gem Boxwood,Buxus Green Gem,Buxus,Y,Fiore,Confamilial - non-native (resolved),"Buxaceae (cf. Pachysandra procumbens, near-region)",,,,shrub,rounded mound,,"small, oval, opposite, evergreen, glossy dark green",2,6,3,5,Full sun to part shade,Medium,"average, medium, well-drained",5 to 8,,TRUE,,,,,,,,,,"boxwood, formal evergreen hedge, deer resistant",,slow growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Green Mountain Boxwood,Buxus Green Mountain,Buxus,Y,Fiore,Confamilial - non-native (resolved),"Buxaceae (cf. Pachysandra procumbens, near-region)",,,,shrub,rounded mound,,"small, oval, opposite, evergreen, glossy dark green",2,6,3,5,Full sun to part shade,Medium,"average, medium, well-drained",5 to 8,,TRUE,,,,,,,,,,"boxwood, formal evergreen hedge, deer resistant",,slow growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Green Velvet Boxwood,Buxus Green Velvet,Buxus,Y,Fiore,Confamilial - non-native (resolved),"Buxaceae (cf. Pachysandra procumbens, near-region)",,,,shrub,rounded mound,,"small, oval, opposite, evergreen, glossy dark green",2,6,3,5,Full sun to part shade,Medium,"average, medium, well-drained",5 to 8,,TRUE,,,,,,,,,,"boxwood, formal evergreen hedge, deer resistant",,slow growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
NewGen Freedom Boxwood,Buxus SB 300 (NewGen Freedom),Buxus,Y,Fiore,Confamilial - non-native (resolved),"Buxaceae (cf. Pachysandra procumbens, near-region)",,,,shrub,rounded mound,,"small, oval, opposite, evergreen, glossy dark green",2,6,3,5,Full sun to part shade,Medium,"average, medium, well-drained",5 to 8,,TRUE,,,,,,,,,,"boxwood, formal evergreen hedge, deer resistant",,slow growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Charm Boxwood,Buxus Wilson,Buxus,Y,Fiore,Confamilial - non-native (resolved),"Buxaceae (cf. Pachysandra procumbens, near-region)",,,,shrub,rounded mound,,"small, oval, opposite, evergreen, glossy dark green",2,6,3,5,Full sun to part shade,Medium,"average, medium, well-drained",5 to 8,,TRUE,,,,,,,,,,"boxwood, formal evergreen hedge, deer resistant",,slow growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Gem Littleleaf Boxwood,Buxus microphylla Winter Gem,Buxus,Y,Fiore,Confamilial - non-native (resolved),"Buxaceae (cf. Pachysandra procumbens, near-region)",,,,shrub,rounded mound,,"small, oval, opposite, evergreen, glossy dark green",2,4,3,5,Full sun to part shade,Medium,"average, medium, well-drained",5 to 8,,TRUE,,,,,,,,,,"boxwood, formal evergreen hedge, deer resistant",,slow growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Montrose White Calamint,Calamintha nepeta Montrose White,Calamintha,Y,Fiore,Native cultivar (genus-native tie; resolved),"Lamiaceae; = Clinopodium, native spp.",,,,shrub,mound,,,1,1.5,1,1.5,Full sun,Dry to medium,"average to poor, well-drained",5 to 7,TRUE,TRUE,,,,,,June to September,,,,"calamint, tiny fragrant flowers, attracts bees",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
White Cloud Calamint,Calamintha nepeta White Cloud,Calamintha,Y,Fiore,Native cultivar (genus-native tie; resolved),"Lamiaceae; = Clinopodium, native spp.",,,,shrub,mound,,,1,1.5,1,1.5,Full sun,Dry to medium,"average to poor, well-drained",5 to 7,TRUE,TRUE,,,,,,June to September,,,,"calamint, tiny fragrant flowers, attracts bees",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Lesser Calamint,Calamintha nepeta var. nepeta,Calamintha,Y,Fiore,Native cultivar (genus-native tie; resolved),"Lamiaceae; = Clinopodium, native spp.",,,,shrub,mound,,,1,1.5,1,1.5,Full sun,Dry to medium,"average to poor, well-drained",5 to 7,TRUE,TRUE,,,,,,June to September,,,,"calamint, tiny fragrant flowers, attracts bees",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Beautyberry Pearl Glam,Callicarpa Pearl Glam,Callicarpa,Y,Fiore,Native cultivar (genus-native tie; resolved),Lamiaceae; Callicarpa americana native (near-region),,,,shrub,rounded shrub,,,3,6,4,6,Full sun to part shade,Dry to medium,"average, medium, well-drained",5 to 10,,TRUE,,,,,,June to August,yellow,October,October to February,"beautyberry, berries attract birds",,moderate growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
